Disease name,Text
Vitiligo,"""I've had these light patches on my neck and face for years, but they seem to be spreading lately. I haven't noticed any pain or itching, but I'm starting to worry about sun exposure and potential complications. Could this be Vitiligo?"""
Vitiligo,"""I've had these light patches on my neck and face for years, but they seem to be spreading lately. I haven't noticed any pain or itching, but I'm starting to worry about sun exposure and potential complications now."""""
Vitiligo,"""I’ve noticed light patches on my neck and face that have been around for years, but recently they seem to be spreading. There’s no pain or itching, but I’m concerned about sun exposure. Could this be Vitiligo?"""
Vitiligo,"""I’ve had light patches on my neck and face for years, but lately, they seem to be spreading. There’s no pain or itching, but I’m starting to worry about how they’ll react to sun exposure. Could it be Vitiligo?"""
Vitiligo,"""For years, I’ve had light patches on my neck and face, but they’ve been spreading more recently. There's no pain or itching, but I’m worried about sun exposure and complications. Could it be Vitiligo?"""
Vitiligo,"""I’ve noticed light patches on my neck and face that have been present for years, but recently they’ve started spreading. There’s no pain or itching, but I’m concerned about the effects of sun exposure. Could this be Vitiligo?"""
Vitiligo,"""Light patches on my neck and face have been there for years, but lately, they’ve been spreading. There's no pain or itching, but I’m starting to worry about sun exposure. Could this be Vitiligo?"""
Vitiligo,"""I've had light patches on my neck and face for a long time, but they seem to be spreading now. There’s no pain or itching, but I’m concerned about sun exposure and complications."""
Vitiligo,"""Doctor, I noticed a pale patch around my knee recently, and it looks different from any sunspots I've had before. Is it something I should be concerned about? Should I use any special creams or lotions?"""
Folliculitis,"""I have these small, hard bumps on my buttocks that hurt when I sit down. They're red and inflamed, and I'm worried about ingrown hairs."""
Vitiligo,"""Mommy, why do I have these white spots on my arm? They don't hurt, but they look different from my skin. Can you ask the doctor about it?"""
Eczema,"""I was diagnosed with eczema a few months ago, but the creams I've been using haven't helped much. My skin is still itchy and uncomfortable, and I'm not sure what else to do."""
Ringworm (tinea corporis),"""I have this red, scaly patch on my belly that just appeared in the past few weeks. It's not terribly painful, but it's quite annoying, especially with the growing baby bump."""
Ringworm (tinea corporis),"""I have this red, scaly patch on my belly that just appeared in the past few weeks. It's not terribly painful, but it's quite annoying, especially with the growing baby bump."""
Ringworm (tinea corporis),"""A red, scaly patch has appeared on my belly over the past few weeks. It’s not too painful, but it’s very bothersome, especially with the growing baby bump."""
Ringworm (tinea corporis),"""I noticed a red, scaly patch on my belly that showed up in the last few weeks. It’s not very painful, but it’s quite irritating, especially with my baby bump growing."""
Ringworm (tinea corporis),"""A red, scaly patch on my belly appeared recently, within the last few weeks. It doesn’t hurt much, but it’s quite annoying, especially with the baby bump growing."""
Ringworm (tinea corporis),"""I’ve developed a red, scaly patch on my belly in the past few weeks. It’s not extremely painful, but it’s bothering me a lot, especially with the growing baby bump."""
Ringworm (tinea corporis),"""There’s a red, scaly patch on my belly that appeared in the last few weeks. It’s not terribly painful, but it’s pretty annoying, especially with my growing baby bump."""
Ringworm (tinea corporis),"""In the last few weeks, I’ve noticed a red, scaly patch on my belly. It doesn’t hurt a lot, but it’s quite irritating, especially with the baby bump growing."""
Athlete's foot (tinea pedis),"""I noticed some dry, flaky patches on my feet, and they itch sometimes. But I'm worried because I have diabetes, and I know foot problems can be serious."""
Ringworm (tinea corporis),"""My dog has this patch of hairless skin on its leg that looks kind of red and inflamed. It seems to be bothering him, and I'm afraid it might be contagious."""
Ringworm (tinea corporis),"""My dog has a patch of hairless skin on its leg that looks red and inflamed. It seems to be bothering him, and I’m worried it might be contagious."""
Ringworm (tinea corporis),"""I noticed a red, inflamed patch of hairless skin on my dog’s leg. He seems uncomfortable, and I’m concerned it could be contagious."""
Ringworm (tinea corporis),"""There’s a patch of hairless skin on my dog’s leg that’s red and inflamed. It seems to be bothering him, and I’m afraid it might be contagious."""
Ringworm (tinea corporis),"""My dog has a red, inflamed spot on his leg with no hair. It seems to be bothering him, and I’m concerned it could spread."""
Ringworm (tinea corporis),"""I noticed a red, irritated patch on my dog’s leg where the fur is missing. He seems to be bothered by it, and I’m worried it might be contagious."""
Eczema,"""I've noticed these itchy, scaly patches on my legs lately."""
Eczema,"""I’ve been seeing these itchy, scaly patches on my legs recently. They weren’t there before, and I’m concerned it could be something serious."""
Eczema,"""There are itchy, scaly patches on my legs that appeared recently. I’ve never had them before, and I’m worried it could be something serious."""
Eczema,"""I’ve developed itchy, scaly patches on my legs. They weren’t there before, and I’m getting concerned that it might be something serious."""
Eczema,"""I’ve noticed some itchy, scaly patches on my legs recently. They weren’t there before, and I’m worried it could be a serious condition."""
Eczema,"""I've noticed these itchy, scaly patches on my legs lately. They weren't there before, and I'm worried it might be something serious."""
Rosacea,"""My face breaks out so easily, but it's not like typical acne. I have these red, bumpy patches that get worse when I'm stressed or hot. My friends don't understand, and I'm feeling really self-conscious about my skin."""
Psoriasis,"""I have these thick, red patches on my joints that crack and bleed sometimes. They're painful and make it hard to move my hands and knees."""
Shingles,"""I'm usually active and healthy, but I've been feeling exhausted and feverish. Now, I have this red, bumpy rash on my leg that's starting to spread. It's not like any insect bite I've ever seen, and it's really worrying me."""
Impetigo,"""Coach, I have these itchy blisters on my leg from practice. They started as small red bumps and now they're filled with pus and scabbing over. Could it be impetigo?"""
Vitiligo,"""I just noticed some white patches on my stomach during my pregnancy. I'm worried if this is related to the pregnancy hormones or could affect my baby in any way. Can you tell me what it is and if there's anything I should do?"""
Vitiligo,"""Mommy, why do I have these white spots on my arm? They don't hurt, but they look different from my skin. Can you ask the doctor about it?"""
Vitiligo,"""Mommy, I have these white spots on my arm. They don’t hurt, but they look different from the rest of my skin. Can you ask the doctor what they are?"""
Vitiligo,"""I just noticed some white patches on my stomach during my pregnancy. I'm worried if this is related to the pregnancy hormones or could affect my baby in any way."""
